*,Product,Code,Size,Retail price,Available Stock,Hold Stock,Total price
903,Trolley Wheel (Black) Swivel - Lock 4 Inch,3G41-09,4,Rs.940.00,0,0,"Rs.26,320.00"
904,Trolley Wheel (Black) Swivel - Lock 5 Inch,3G41-10,5,"Rs.1,250.00",2,0,"Rs.10,000.00"
905,Tintex Nails 1/2 Inch,3G42-01,02-Jan,Rs.315.00,1244,9,"Rs.407,295.00"
906,Tintex Nails 3/4 Inch,3G42-02,04-Mar,Rs.315.00,0,6,"Rs.1,890.00"
907,Tintex Nails 5/8 Inch,3G42-03,08-May,Rs.315.00,3,0,Rs.0.00
908,Concrete Nails 1 Inch (900G),3G43-01,1,Rs.525.00,4,0,Rs.0.00
909,Concrete Nails 1 1/2 Inch (900G),3G43-02,1 1/2,Rs.525.00,0,1,Rs.525.00
910,Concrete Nails 2 Inch (900G),3G43-03,2,Rs.525.00,0,0,Rs.0.00
911,Concrete Nails 2 1/2 Inch (900G),3G43-04,2 1/2,Rs.824.00,3,0,Rs.0.00
912,Concrete Nails 3 Inch (900G),3G43-05,3,Rs.525.00,37,0,Rs.0.00
913,Concrete Nails 4 Inch,3G43-06,4,Rs.940.00,0,0,Rs.0.00
914,Concrete Nails 5 Inch,3G43-07,5,Rs.940.00,0,0,Rs.0.00
915,Jaguar Nails (Hard Bord) 3/4 Inch,3G44-01,04-Mar,Rs.650.00,305,5,"Rs.232,050.00"
916,Jaguar Nails (Hard Bord) 1 Inch,3G44-02,1,Rs.650.00,198,5,"Rs.75,400.00"
917,Umbrella Nails 1 1/2 Inch,3G45-01,1 1/2,"Rs.1,800.00",0,4,"Rs.3,600.00"
918,Umbrella Nails 2 Inch,3G45-02,2,"Rs.1,800.00",25,2,"Rs.34,200.00"
919,Roofing Nails 1 1/2 Inch,3G46-01,1 1/2,Rs.753.00,0,0,Rs.0.00
920,Roofing Nails 2 Inch,3G46-02,2,Rs.753.00,0,0,Rs.0.00
921,Roofing Nails 3 Inch,3G46-03,3,"Rs.1,054.00",0,0,Rs.0.00
922,Roofing Nails 3 1/2 Inch,3G46-04,3 1/2,Rs.560.00,0,10,"Rs.5,712.00"
923,Roofing Nails 4 Inch,3G46-05,4,Rs.560.00,0,2,"Rs.3,920.00"
924,Roofing Nails 4 1/2 Inch,3G46-06,4 1/2,Rs.386.00,0,0,Rs.0.00
925,Drywall Screw 6 X 3/4 Inch,3G47-01,04-Mar,"Rs.1,018.00",0,0,Rs.0.00
926,Drywall Screw 6 X 5/8 Inch,3G47-02,08-May,Rs.750.00,0,0,"Rs.18,000.00"
927,Drywall Screw 6 X 1 Inch,3G47-03,1,Rs.980.00,111,0,"Rs.112,700.00"
928,Drywall Screw 7 X 3/4 Inch,3G47-04,04-Mar,"Rs.1,340.00",3,1,"Rs.9,380.00"
929,Drywall Screw 7 X 1 Inch,3G47-05,1,Rs.990.00,15,0,"Rs.20,790.00"
930,Drywall Screw 7 X 1 1/4 Inch,3G47-06,1 1/4,Rs.950.00,120,0,"Rs.120,650.00"
931,Drywall Screw 7 X 1 1/2 Inch,3G47-07,1 1/2,"Rs.1,030.00",0,0,"Rs.5,150.00"
932,Drywall Screw 8 X 3/4 Inch,3G47-08,04-Mar,"Rs.1,260.00",0,0,"Rs.10,080.00"
933,Drywall Screw 8 X 1 Inch,3G47-09,1,"Rs.1,050.00",3,0,Rs.0.00
934,Drywall Screw 8 X 1 1/4 Inch,3G47-10,1 1/4,"Rs.1,040.00",68,1,"Rs.74,880.00"
935,Drywall Screw 8 X 1 1/2 Inch,3G47-11,1 1/2,"Rs.1,018.00",0,0,Rs.0.00
936,Drywall Screw 8 X 2 Inch,3G47-12,2,Rs.815.00,1,1,"Rs.9,780.00"
937,Drywall Screw 8 X 2 1/2 Inch,3G47-13,2 1/2,"Rs.1,025.00",30,4,"Rs.37,925.00"
938,Drywall Screw 8 X 3 Inch,3G47-14,3,"Rs.1,018.00",0,0,Rs.0.00
939,Panal Pin 3/4 Inch - 19 mm,3G48-01,04-Mar,Rs.680.00,293,1,"Rs.192,440.00"
940,Panal Pin 1 Inch - 17 mm,3G48-02,1,Rs.680.00,443,1,"Rs.264,520.00"
941,Amano Nails (Steel) 1 Inch,3G49-01,1,Rs.7.25,0,1000,"Rs.9,504.75"
942,Amano Nails (Steel) 1 1/2 Inch,3G49-02,1 1/2,Rs.9.00,1024,0,"Rs.34,200.00"
943,Amano Nails (Steel) 2 Inch,3G49-03,2,Rs.11.00,300,453,"Rs.4,983.00"
